Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2024-07-03,Decision to Leave,2022,https://boxd.it/6Nfrk7,,,,2022-12-03
2023-08-07,Rubber's Lover,1996,https://boxd.it/4EJbyF,3,,,2023-08-06
2023-08-11,A Man,2022,https://boxd.it/4FWk37,,,,2023-08-10
2023-08-11,Drive My Car,2021,https://boxd.it/4FWk95,,,,2023-08-10
2023-09-23,The Pornographers,1966,https://boxd.it/4SMzQb,,,,2023-09-22
2023-10-08,Mysterious Object at Noon,2000,https://boxd.it/4XxHyf,,,,2023-10-07
2023-10-09,Days,2020,https://boxd.it/4Y4mRL,,,,2023-10-08
2023-10-21,Syndromes and a Century,2006,https://boxd.it/51O2CP,,,,2023-10-20
2023-10-23,Mekong Hotel,2012,https://boxd.it/52DfEB,,,,2023-10-22
2023-10-27,Cemetery of Splendor,2015,https://boxd.it/53OvNF,,,,2023-10-26
2023-10-28,Your Name.,2016,https://boxd.it/5481t1,,,,2023-10-27
2023-11-02,Memoria,2021,https://boxd.it/560VEr,,,,2023-11-01
2023-11-18,Memories of Murder,2003,https://boxd.it/5aYLUv,,,,2023-11-17
2023-11-20,Ashes,2012,https://boxd.it/5bOLOB,,,,2023-11-19
2023-11-26,La La Land,2016,https://boxd.it/5dOInF,,,,2023-11-25
2023-12-05,2001: A Space Odyssey,1968,https://boxd.it/5gZo5P,,,,2023-12-04
2023-12-11,"I, Daniel Blake",2016,https://boxd.it/5iPfUn,,,,2023-12-10
2023-12-19,An Elephant Sitting Still,2018,https://boxd.it/5lQnt9,,,,2023-12-18
2023-12-28,Inside the Yellow Cocoon Shell,2023,https://boxd.it/5pUDdP,,,,2023-12-27
2024-01-16,Isle of Dogs,2018,https://boxd.it/5BMTEp,,,,2024-01-16
2024-02-13,Peppermint Candy,1999,https://boxd.it/5P3QNz,,,,2024-02-12
2024-02-20,Full Metal Jacket,1987,https://boxd.it/5SpKCh,,,,2024-02-20
2024-04-03,Fight Club,1999,https://boxd.it/6cogvj,,,,2024-04-02
2024-04-29,No Country for Old Men,2007,https://boxd.it/6mHAQz,,,,2024-04-28
2024-05-05,Antiporno,2016,https://boxd.it/6pmYe5,,,,2024-05-04
2024-05-13,Phantom Thread,2017,https://boxd.it/6sTfGB,,,,2024-05-12
2024-05-20,Perfect Blue,1997,https://boxd.it/6vuiOb,,,,2024-05-19
2024-06-09,Baraka,1992,https://boxd.it/6DucWv,,,,2024-06-07
2024-06-10,The Big Lebowski,1998,https://boxd.it/6Eg9D7,,,,2024-06-09
2024-06-14,Another Round,2020,https://boxd.it/6FGdAR,,,,2024-06-13
2024-06-19,The Menu,2022,https://boxd.it/6HIqoL,,Yes,,2024-06-18
2024-06-26,Burning,2018,https://boxd.it/6Ksu41,,,,2024-06-25
2024-07-09,Inherent Vice,2014,https://boxd.it/6POpOn,,,,2024-07-08
2024-07-11,There Will Be Blood,2007,https://boxd.it/6QULzZ,,,,2024-07-11
2024-07-13,"Goodbye, Dragon Inn",2003,https://boxd.it/6RAZV5,,,,2024-07-12
2024-07-24,Death of a Salesman,1985,https://boxd.it/6WzzD3,,,,2024-07-23
2024-07-30,Sleep,2023,https://boxd.it/6ZeiZB,,,,2024-07-29
2024-08-08,Anatomy of a Fall,2023,https://boxd.it/73aGBL,,,,2024-08-07
2024-08-08,Seagrass,2023,https://boxd.it/73aGO1,1,,,2024-08-07
2024-08-08,The Corridor,,https://boxd.it/73dIc5,,,,2024-08-07
2024-08-08,Kung Fu Panda 4,2024,https://boxd.it/73kECH,,,,2024-08-07
2024-08-15,Pulp Fiction,1994,https://boxd.it/76jQEZ,,,,2024-08-14
2024-08-17,The Florida Project,2017,https://boxd.it/77gROf,,,,2024-08-16
2024-08-19,Requiem for a Dream,2000,https://boxd.it/78sPg9,,,,2024-08-18
2024-08-22,Electric Dragon 80000V,2001,https://boxd.it/79JrVl,,,,2024-08-21
2024-08-27,Youth (Spring),2023,https://boxd.it/7c5rV3,,,,2024-08-26
2024-09-01,City of Wind,2023,https://boxd.it/7e9VZF,,,,2024-08-31
2024-09-14,If Only I Could Hibernate,2023,https://boxd.it/7k97uV,,,,2024-09-14
2024-09-16,The Paradise of Thorns,2024,https://boxd.it/7l5ufZ,2.5,,,2024-09-15
2024-09-20,Daisies,1966,https://boxd.it/7mC0hV,,,,2024-09-19
2024-10-07,Homework,1989,https://boxd.it/7uEo7V,,,,2024-10-06
2024-10-13,Revolution of Our Times,2021,https://boxd.it/7xlloN,,,,2024-10-12
2024-10-13,American Beauty,1999,https://boxd.it/7xwNxl,,,,2024-10-13
2024-10-14,Angels Wear White,2017,https://boxd.it/7y0jar,,,,2024-10-13
2024-10-14,The Sales Girl,2021,https://boxd.it/7y9Lk3,,,,2024-10-14
2024-10-20,Eternal Spring,2022,https://boxd.it/7AZmjL,,,,2024-10-19
2024-10-26,Blue,1993,https://boxd.it/7DY9qz,,,,2024-10-25
2024-11-04,"Days, Months, Years and Nothing Else",2024,https://boxd.it/7IZxvF,,,,2024-11-03
2024-11-09,Hereditary,2018,https://boxd.it/7Lltul,,,,2024-11-08
2024-11-14,The Strange Thing About the Johnsons,2011,https://boxd.it/7NYtsv,,,,2024-11-12
2024-12-07,Memories of CS:GO – The Final Years,2024,https://boxd.it/7Zq10D,,,,2024-12-06
2024-12-08,The Silence of the Lambs,1991,https://boxd.it/800g3T,,,,2024-12-07
2024-12-15,Interstellar,2014,https://boxd.it/83qbPR,,,,2024-12-13
2025-01-04,Portrait of a Lady on Fire,2019,https://boxd.it/8iKPTp,,,,2025-01-03
2025-03-14,Shot / Countershot,1987,https://boxd.it/97jSJ3,,,,2025-03-13
2025-03-14,Poetry,2010,https://boxd.it/97p7wj,,,,2025-03-13
2025-03-16,Mickey 17,2025,https://boxd.it/98EEUn,,,,2025-03-15
2025-03-24,The Chinese Mayor,2015,https://boxd.it/9dgHDV,,,,2025-03-23
2025-04-21,Railway Sleepers,2016,https://boxd.it/9tlyMt,,,,2025-04-20
2025-06-25,How to Train Your Dragon,2025,https://boxd.it/a78T3t,,,,2025-06-23
2025-07-18,Superman,2025,https://boxd.it/ank4a7,,,,2025-07-17
