Date,Name,Year,Letterboxd URI,Rating
7/4/2023,I'm Thinking of Ending Things,2020,https://boxd.it/i4IQ,5
7/5/2023,Anomalisa,2015,https://boxd.it/97TE,5
7/5/2023,"Synecdoche, New York",2008,https://boxd.it/23zw,5
7/5/2023,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,4.5
7/5/2023,Human Nature,2001,https://boxd.it/2ani,3
7/5/2023,Being John Malkovich,1999,https://boxd.it/2ahu,4
7/5/2023,Brazil,1985,https://boxd.it/2be2,5
7/5/2023,Mishima: A Life in Four Chapters,1985,https://boxd.it/1sBA,4.5
7/5/2023,The Worst Person in the World,2021,https://boxd.it/oyws,4
7/5/2023,Tetsuo: The Iron Man,1989,https://boxd.it/ZoM,3.5
7/5/2023,The Whale,2022,https://boxd.it/tw4c,2
7/5/2023,The Banshees of Inisherin,2022,https://boxd.it/p7XS,4.5
7/5/2023,TÁR,2022,https://boxd.it/uNIA,4
7/5/2023,Koyaanisqatsi,1982,https://boxd.it/1U9E,4.5
7/5/2023,Stalker,1979,https://boxd.it/28PO,3
7/5/2023,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape,3.5
7/5/2023,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,4
7/5/2023,The Elephant Man,1980,https://boxd.it/27LQ,3
7/5/2023,Blade Runner 2049,2017,https://boxd.it/b8wK,4
7/5/2023,Taxi Driver,1976,https://boxd.it/2b8y,4.5
7/5/2023,Spring Breakers,2012,https://boxd.it/421s,2.5
7/5/2023,Battle Royale,2000,https://boxd.it/25zS,4
7/5/2023,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,3
7/5/2023,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,3
7/5/2023,Parasite,2019,https://boxd.it/hTha,4.5
7/5/2023,Aftersun,2022,https://boxd.it/Arw0,4
7/5/2023,Come and See,1985,https://boxd.it/1w9q,4.5
7/5/2023,A Woman Under the Influence,1974,https://boxd.it/1myg,4
7/6/2023,Chinatown,1974,https://boxd.it/29vU,4
7/7/2023,2046,2004,https://boxd.it/29tu,4
7/17/2023,45 Years,2015,https://boxd.it/9ZPG,4
7/17/2023,Sicario,2015,https://boxd.it/8i7u,3.5
7/17/2023,The Paper Tigers,2020,https://boxd.it/rr9W,3
7/17/2023,0cm⁴,2001,https://boxd.it/bcg2,4.5
8/2/2023,964 Pinocchio,1991,https://boxd.it/EhA,4
8/7/2023,The Shawshank Redemption,1994,https://boxd.it/2aHi,3
9/17/2023,Upon Open Sky,2023,https://boxd.it/HJtW,2.5
10/3/2023,Uncle Boonmee Who Can Recall His Past Lives,2010,https://boxd.it/168Q,4.5
10/16/2023,Tropical Malady,2004,https://boxd.it/1TCA,4.5
11/1/2023,Your Name.,2016,https://boxd.it/cUqs,3
11/1/2023,The Super Mario Bros. Movie,2023,https://boxd.it/i8C8,1
7/3/2024,Burning,2018,https://boxd.it/hHUa,5
7/6/2024,Battle Royale II: Requiem,2003,https://boxd.it/25zI,1
