Date,Name,Year,Letterboxd URI
2023-08-11,Brazil,1985,https://boxd.it/2be2
2023-08-11,"Synecdoche, New York",2008,https://boxd.it/23zw
2023-08-11,Anomalisa,2015,https://boxd.it/97TE
2023-08-11,I'm Thinking of Ending Things,2020,https://boxd.it/i4IQ
2023-08-11,964 Pinocchio,1991,https://boxd.it/EhA
2023-10-28,Mekong Hotel,2012,https://boxd.it/3Igs
2023-10-28,Syndromes and a Century,2006,https://boxd.it/1qHQ
2023-11-01,The Super Mario Bros. Movie,2023,https://boxd.it/i8C8
2023-11-02,Under the Silver Lake,2018,https://boxd.it/dSAs
2023-11-02,Uncle Boonmee Who Can Recall His Past Lives,2010,https://boxd.it/168Q
2023-11-27,Tropical Malady,2004,https://boxd.it/1TCA
2024-06-13,Mishima: A Life in Four Chapters,1985,https://boxd.it/1sBA
2024-06-14,2001: A Space Odyssey,1968,https://boxd.it/2bf0
2024-06-26,Burning,2018,https://boxd.it/hHUa
2024-07-03,Blissfully Yours,2002,https://boxd.it/LFu
2024-07-14,"Goodbye, Dragon Inn",2003,https://boxd.it/oFG
2024-08-28,Cemetery of Splendor,2015,https://boxd.it/9tIo
2025-03-14,Shot / Countershot,1987,https://boxd.it/a6J6
