Date,Name,Year,Letterboxd URI,Rating
2023-07-05,I'm Thinking of Ending Things,2020,https://boxd.it/i4IQ,5
2023-07-05,Anomalisa,2015,https://boxd.it/97TE,5
2023-07-05,"Synecdoche, New York",2008,https://boxd.it/23zw,5
2023-07-05,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,4.5
2023-07-05,Human Nature,2001,https://boxd.it/2ani,3
2023-07-05,Being John Malkovich,1999,https://boxd.it/2ahu,4
2023-07-05,Brazil,1985,https://boxd.it/2be2,5
2023-07-05,Mishima: A Life in Four Chapters,1985,https://boxd.it/1sBA,4.5
2023-07-05,The Worst Person in the World,2021,https://boxd.it/oyws,4
2023-07-05,Tetsuo: The Iron Man,1989,https://boxd.it/ZoM,3.5
2023-07-05,The Whale,2022,https://boxd.it/tw4c,2
2023-07-05,The Banshees of Inisherin,2022,https://boxd.it/p7XS,4.5
2023-07-05,TÁR,2022,https://boxd.it/uNIA,4
2023-07-05,Koyaanisqatsi,1982,https://boxd.it/1U9E,4.5
2023-07-05,Stalker,1979,https://boxd.it/28PO,3
2023-07-05,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape,3.5
2023-07-05,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,4
2023-07-05,The Elephant Man,1980,https://boxd.it/27LQ,3
2023-07-05,Blade Runner 2049,2017,https://boxd.it/b8wK,4
2023-07-05,Taxi Driver,1976,https://boxd.it/2b8y,4.5
2023-07-05,Spring Breakers,2012,https://boxd.it/421s,2.5
2023-07-05,Battle Royale,2000,https://boxd.it/25zS,4
2023-07-05,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,3
2023-07-05,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,3
2023-07-05,Parasite,2019,https://boxd.it/hTha,4.5
2023-07-05,Aftersun,2022,https://boxd.it/Arw0,4
2023-07-05,Come and See,1985,https://boxd.it/1w9q,4.5
2023-07-05,A Woman Under the Influence,1974,https://boxd.it/1myg,4
2023-07-05,Chinatown,1974,https://boxd.it/29vU,4
2023-07-05,2046,2004,https://boxd.it/29tu,4
2023-07-17,45 Years,2015,https://boxd.it/9ZPG,4
2023-07-17,Sicario,2015,https://boxd.it/8i7u,3.5
2023-07-17,The Paper Tigers,2020,https://boxd.it/rr9W,3
2023-07-17,0cm⁴,2001,https://boxd.it/bcg2,4.5
2023-08-02,964 Pinocchio,1991,https://boxd.it/EhA,4
2023-08-07,The Shawshank Redemption,1994,https://boxd.it/2aHi,3
2023-09-17,Upon Open Sky,2023,https://boxd.it/HJtW,2.5
2023-10-03,Uncle Boonmee Who Can Recall His Past Lives,2010,https://boxd.it/168Q,4.5
2023-10-16,Tropical Malady,2004,https://boxd.it/1TCA,4.5
2023-11-01,Your Name.,2016,https://boxd.it/cUqs,3
2023-11-01,The Super Mario Bros. Movie,2023,https://boxd.it/i8C8,1
2024-07-03,Burning,2018,https://boxd.it/hHUa,5
2024-07-06,Battle Royale II: Requiem,2003,https://boxd.it/25zI,1
2024-07-09,Oldboy,2003,https://boxd.it/29R2,4.5
2024-07-13,Memories of Murder,2003,https://boxd.it/1TSo,5
2024-07-16,Samurai Cop 2: Deadly Vengeance,2015,https://boxd.it/8NIw,0.5
2024-07-16,Ready Player One,2018,https://boxd.it/aZes,1.5
2024-07-16,Aquaman,2018,https://boxd.it/9ru0,1
2024-07-16,Mortal Kombat Legends: Scorpion's Revenge,2020,https://boxd.it/oJGS,2.5
2024-07-16,Mortal Kombat,2021,https://boxd.it/gswA,1.5
2024-07-16,Mortal Kombat Legends: Battle of the Realms,2021,https://boxd.it/vKLo,1
2024-07-16,Belle,2021,https://boxd.it/tbEe,2.5
2024-07-16,Oppenheimer,2023,https://boxd.it/wUow,3
2024-07-16,Inside the Yellow Cocoon Shell,2023,https://boxd.it/Gama,3.5
2024-07-16,Glass Onion,2022,https://boxd.it/oCkK,2.5
2024-07-16,Another Round,2020,https://boxd.it/lkba,3
2024-07-16,An Elephant Sitting Still,2018,https://boxd.it/i1EQ,4
2024-07-16,Isle of Dogs,2018,https://boxd.it/dZrW,3.5
2024-07-16,La La Land,2016,https://boxd.it/a5fa,4.5
2024-07-16,"I, Daniel Blake",2016,https://boxd.it/d0xa,4.5
2024-07-16,No Country for Old Men,2007,https://boxd.it/21ew,5
2024-07-16,Perfect Blue,1997,https://boxd.it/1W7A,4
2024-07-16,Tucker: The Man and His Dream,1988,https://boxd.it/1q4u,3
2024-07-16,Full Metal Jacket,1987,https://boxd.it/2a1Q,4.5
2024-07-16,The Pornographers,1966,https://boxd.it/Wco,3
2024-07-16,Peppermint Candy,1999,https://boxd.it/ZQc,3.5
2024-07-16,Wonder,2017,https://boxd.it/ekeY,2
2024-07-16,Fight Club,1999,https://boxd.it/2a9q,4.5
